Date,Day,Month,Year,DayOfWeek,IsWeekend,Predicted_Sales
2016-12-13,13,12,2016,1,0,4575.6733
2016-12-14,14,12,2016,2,0,5186.6226
2016-12-15,15,12,2016,3,0,5443.681
2016-12-16,16,12,2016,4,0,4952.6333
2016-12-17,17,12,2016,5,1,4367.097
2016-12-18,18,12,2016,6,1,4926.242
2016-12-19,19,12,2016,0,0,5434.415
2016-12-20,20,12,2016,1,0,4575.6733
2016-12-21,21,12,2016,2,0,5186.6226
2016-12-22,22,12,2016,3,0,5443.681
2016-12-23,23,12,2016,4,0,4952.6333
2016-12-24,24,12,2016,5,1,4367.097
2016-12-25,25,12,2016,6,1,4926.242
2016-12-26,26,12,2016,0,0,5434.415
2016-12-27,27,12,2016,1,0,4575.6733
2016-12-28,28,12,2016,2,0,5186.6226
2016-12-29,29,12,2016,3,0,5443.681
2016-12-30,30,12,2016,4,0,4952.6333
2016-12-31,31,12,2016,5,1,4367.097
2017-01-01,1,1,2017,6,1,4091.0618
2017-01-02,2,1,2017,0,0,4651.1357
2017-01-03,3,1,2017,1,0,3549.6497
2017-01-04,4,1,2017,2,0,4221.829
2017-01-05,5,1,2017,3,0,5289.603
2017-01-06,6,1,2017,4,0,5033.693
2017-01-07,7,1,2017,5,1,3422.0479
2017-01-08,8,1,2017,6,1,2936.9287
2017-01-09,9,1,2017,0,0,2990.7058
2017-01-10,10,1,2017,1,0,3643.7725
2017-01-11,11,1,2017,2,0,1868.8405
